Description,Vague/Not
"Want alot of space and want something MINT, MODERN, and PERFECT? Here you are

3600SF! 6BR and 4.5BA! Three floor owner's DUPLEX plus a RENTAL DUPLEX as well! Almost insane!

Ask about renting just the owner's triplex if you prefer- $7495

Broker fee just one month",0
"I have an uncovered outdoor parking space available for rent in the back of my house located on 73rd St between 11th ave and 12th ave. The parking space is the first spot when entering the community driveway on 12th ave thus the space will only fit a small car (such as a FIAT or mini cooper) in length so that it doesn't block the entrance. I've measured the length of the spot and it's 12' 9"". Feel free to text me at: 
 or you can email me if you are interested in seeing the space and testing the space to ensure the fit. It's your responsibility to ensure your car's fit into the space. 

Thank You.",1
"Charming 1 bedroom apartment available for rent in Murray Hill townhouse. 
Great location! Easy walk to Midtown 
Exposed brick wall
High ceilings
Hardwood floors
Only approved pets",1
"A great affordable collection of studios in Tudor City waiting for you!
Maybe it's time for a new chapter in your life?
Become an owner, stop feeding your Landlord!
I am a buyer's broker and here to help you to navigate the Manhattan sales market.
There are over hundreds of studios & 1 bedroom right now on market all over Manhattan and one of them can be yours! 
Some are with extremely low maintenance, which allows you to pay less than 2K monthly - while it's harder and harder to find a decent rental under 2K anywhere in Manhattan.
And you can resell your property in the future with a profit or rent it.
Interest rate is low, prices are great, and if you have great credit history and savings what are you waiting for?
Upper East Side studios and 1 bedroom from $330K & up
Midtown East studios from 275K
Tudor City, for example, has a great collection of affordable studios every month!
Upper Manhattan 1 bedrooms from 300K & up
Downtown studios from 320K & up
The market has dozens of income-restricted sales at the moment which you might qualify for as well.
Ask me how. When if not now?",1
"MALE ONLY !! ONE ROOM AVAILABLE!!!!
- One room available NOW @ $600 monthly. 
NICE & CLEAN
The rent includes utilities. (electricity and gas/heat) WIFI and TV cable in the living room only!! . One month deposit and One month rent required. 
Sharing kitchen and bathroom ... ALL UTILITIES INCLUDED!!! 
Except AC for Summer time. $30 additional 
Convenient location and 20minutes to Manhattan NY City
Nearby are restaurants, supermarkets, pharmacies, Laundry, buses, train station and many other stores
Front of the house is the park (little Italy Park) and few block away to the Bronx ZOO!!!

If you need more information please call me at 


Thank you!
Maria",1
,0
"*Large alcove studio - flex 1!
*Functions like a Jr 1 BED for a studio price!
*TONS of CLOSET SPACE!
*LARGE SEPARATE open kitchen with GRANITE BAR and DISHWASHER!
*OVERSIZED windows!
*Attended lobby, elevator, DOORMAN!
*Landscaped ROOF DECK with sweeping city views!
*ONSITE card operated laundry, valet, cleaning services available!
*Prime REAL Tribeca location, convenient to both Tribeca and SoHo neighborhood amenities!
*Short express subway commutes to Union Square, the Village, Chelsea, Midtown, Uptown, Financial District and Brooklyn!
*Net effective rent after 3 MONTHS FREE!
*NO broker fees!

* INHOUSE TOUR NOW AVAILABLE!*",1
"Building for sale by owner .legel 8 apt’s 2br each plus store front . Legel 8 Apts will be delivered vancnt and gutted out, store front has 7 years left with 3% increase a year . Store in paying $6,556.00 a month . Building is 6000sqf with 4500sqf in rights R7 zoning. Extremely low expenses summit a offer cobypaz2581@gmail or call at jack 
 Building address is 960 Myrtle ave Brooklyn ny 11206. Click to 3D view .... https://my.matterport.com/show/?m=YhhBu9mLH49",1
"Building for sale by owner .legel 8 apt’s 2br each plus store front . Legel 8 Apts will be delivered vancnt and gutted out, store front has 7 years left with 3% increase a year . Store in paying $6,556.00 a month . Building is 6000sqf with 4500sqf in rights R7 zoning. Extremely low expenses summit a offer cobypaz2581@gmail or call at jack 
 Building address is 960 Myrtle ave Brooklyn ny 11206 Click to view 3D .... https://my.matterport.com/show/?m=YhhBu9mLH49",1
"Private, furnished bedroom available for rent, perfect for individual moving to New Jersey for work or study. 

Location: Few mins walk to center of Morristown with easy access to NJ Transit train station, cafes, restaurants, shopping, etc.

The house is a new construction with private entrance and driveway parking. Private full bathroom and kitchenette area - ready to move in. 

The house and the room are very cute with modern style, big windows, high ceilings, plenty of closet and storage inside and outside the room. 

Photos available upon request. Serious inquires only.

All utilities and WiFi are included.",1
"Beautiful private furnished bedroom & bathroom in a modern new house in Morristown. 
Only minutes walking distance to the train station and restaurants. 

All the utilities included. 
1550$ 

Thank you",1
"Looking for a quiet and clean person for this beautiful room. It’s fully furnished and renovated space. 

Flexible payment options, weekly, bi-weekly, or monthly. 

$299 per week

All-inclusive

1. Mini Fridge
2. Smart TVs
3. 1Gb High-speed internet
4. Housekeeping person
5. Two Brand New Baths and Furniture
6. New Kitchen and utensils for each room
7. Separate storage in the kitchen for individual rooms
8. Large closet and storage space
9. Smart keyless entry locks for all doors

The list goes on. Just bring your clothes!",1
"We are looking for a quiet clean person for this newly renovated and newly furnished home. The room offers everything you need from a mini-fridge, new beds, new 50 inch TV, by-weekly housekeeping, and more. 

This is going to go fast so call or text to preview the space. 

The rent is $275 per week but you have the option to pay monthly or by weekly if you prefer. 

Anyone applying must be responsible and be ready to provide credit or income info to qualify.",0
"A sun filled room (furnished or not) available at $650 
Built in closet, brand new bed frame and mattress, beddings. 
 
Gas & Water included in the rent. 

1/2 block from Sterling Street station (express 2,5 trains)
3 blocks to 3 and 4 trains.
10 min walk to Prospect Park Station (B,Q trains)

10 minutes walk to SUNNY downstate medical school
5 minutes walk to CUNY Medgar Evers College
20 min to downtown Manhattan (express 2,5 trains)
10 minutes to Long Island University (express 2,5 trains)
20 min to CUNY BMCC downtown (express 2,5 trains)
15 min to CUNY Brooklyn College (express 2,5 trains)

Only a few blocks away from amazing Prospect Park and Botanical Garden.
Please send an email about yourself if interested.

thanks,
Tk",1
"*Laundromat, grocery store, Chinese restaurant directly across the street. 24 hour grocery store and 24 hour bakery just 1 block away.

* One block to all transportation. 10-20 minute commute to and from NYC (Mid Town Manhattan) and is directly across the Lincoln Tunnel (buses run every 15 minutes) to and from Manhattan at the Bus Terminal near times square. The bus takes you to and from the Port Authority in Manhattan. The LightRail (Train) into Manhattan is also available a few blocks away.

* The room is 1 flight up in a 3 story quiet building that sits on the corner of New York Ave & 8th St. and has 2 apts on each floor (Quiet & clean). 

* The room is a nice decent size with window facing the front of building. 

* The room has a huge closet, Air Conditioner and 32 inch flat Screen TV

* $800 includes AC, hot water, Optimum Cable, WiFi/Internet.

* Clean shiny, hardwood floors, good closet space and abundant light

Share 
* CLEAN Kitchen 
* CLEAN Bathroom 
* Each room has a secure lock and you will have your own space/privacy.

Share Apt (3br) with 2 very clean, respectful and quiet people renting the 2 other rooms in the apt who both work 9-5 jobs. Both work in Manahattan and are hardly in the apt during the daytime. One month rent and one month security required to move in. 
***No couples***",1
"CALL OR TEXT 


WATERFRONT HOME 2BEDROOM, FULL KITCHEN AND LIVING ROOM

HOME HAS AIR CONDITIONING AND HEAT

INCHES FROM LARGE DECK STEP INTO SALT WATER: SWIM,KAYAK, BOAT, FISH AND CLAM/QUAHOG ( use of rake and basket included ) RIGHT IN FRONT OF SUMMER HOME.

FULL KITCHEN AND ONE AND HALF BATH WITH INDOOR SHOWER

TV/ PREMIUM CABLE AND WI-FI GAS GRILL

ENJOY THE BREATH TAKING SUNRISE AND SUNSET RIGHT FROM DECK

SCENIC BIKE BATHS AND BIRD WATCHING


QUAINT VILLAGE OF WAKEFIELD,RI OFFERS: SHOPS, RESTAURANTS and LOCAL FANFARE ( less than a mile away )

THE RHODE ISLAND EAST MATUNUCK STATE BEACH IS WALKING DISTANCE FROM COTTAGE, WITH LIFE GUARDS, WAVES AND A GREAT VIEW OF BLOCK ISLAND

EVERYTHING YOU NEED FOR YOUR STAY IS INCLUDED, EXCEPT LINEN, TOWELS AND PAPER GOODS. CONVENIENT LAUNDRYMAT ON THE PREMISE.

DOCK SPACE FOR YOUR BOAT IN-FRONT OF COTTAGE IS AVAILABLE AT A REASONABLE RATE

WALKING DISTANCE TO EAST MATUNUCK OYSTER BAR /RESTAURANT AND FARM and CAPTAIN JACKS FAMILY RESTAURANT

FALL GETAWAY $150.00 night ( two night minimum)


PLEASE CALL OR TEXT 
 (until 10 pm.) ALL CALLS WILL BE RETURNED


Sorry no pets are allowed

* State of Rhode Island vacation tax and security deposit will be charged were applicable

* Payment via Pay Pal is accepted",1
"Enjoy your own Private, Panoramic Views of the Manhattan Skyline & the Hudson River that Simply Must Be Seen!

This builder’s custom residence stands majestically in a one of a kind, prime location, atop the cliffs of the historic and highly sought Kings Bluff section. Your opportunity to own on a secluded dead end street comprised of a handful of remarkable homes facing New York City with unobstructed views. In addition to top schools, access to NYC, Hudson Yards, Port Authority Terminal, Hoboken, and Jersey City is rapid by car or public transportation (NY Waterways Ferry, Port Imperial Light Rail, NJ Transit Path Train or Bus; 10 minute ride to midtown). Minutes to Lincoln & Holland Tunnels, George Washington Bridge, and MetLife Stadium. The town is also planning a new major waterfront recreational area.

This stately home showcases a Spanish tile roof, a fortress like granite stone and brick exterior, built-in pool, Jacuzzi, sun deck, covered slate patio, 2 car heated garage, and 4 car gated driveway for your guests. Inside there’s 5,586 sf of living space comprised of 7 Brs, 5 Full Baths, including finished full walk-up attic with Br facing NYC, bath, sitting room. Private ground level suite with views, 1 bedroom, kitchen, bath, living room & laundry (ideal for home office, artist’s studio, gym, live-in, or extended family). Other rooms & amenities of this beautifully maintained home include a Master Br suite with large sauna room, walk-in cedar closet; 2 masonry fireplaces, sunken living room with vaulted ceiling, den, sun room, formal dining room, custom archways, kitchen with mahogany cabinets, granite floor and countertops; laundry; solid oak floors, 2 story marble stair entry, central vacuum, monitored fire/security, and 4 zone AC. Tons of natural light, copious closet and storage space. Freshly painted; New natural gas boiler and 5 zone hot water based heating system. 
Priced to sell.
Please contact listing agent Todd Behnken directly for further information 
 or to schedule a private tour.

Fore more photos, aerial tour, see https://53-55kingswoodrd.com
Please provide contact info (full name, email, tel no.) when inquiring.",1
"Big, beautiful bedroom (will be unfurnished upon move-in) available Oct 1 in cozy, clean 2 bedroom apartment 4 blocks from the Graham Ave L, on Jackson Street. Long term sublet. You would be sharing with me, psychotherapist/PhD student in my late 20s. Bedrooms are on opposite sides of the apartment allowing for lots of privacy. The building is older but have never had any issues, and there are only 2 units per floor so it is quiet and cozy. Apt is on third (top) floor of a walk-up. The bedroom has a window-A/C unit installed. Heat is controlled by a thermostat in the apt and comes through strips on the floor, so no clanking radiators. The bathroom is standard NYC, not too big but not tiny, and we do have a bathtub and good water pressure. The landlord is awesome, and we have never had any issues with bugs/mice/critters of any sort. The laundromat is half a block away and there are tons of grocery stores/restaurants/coffee shops within blocks. 

While the open bedroom is quite large, the shared space is minimal so it is important that we get along. It is important to me to maintain a calm, peaceful home and I am looking for someone who feels the same. I will be in my bedroom during the day attending remote classes (with headphones) but spend a lot of days/nights at my boyfriend's apartment. It goes without saying but I am maintaining social distance according to guidelines and safe practices outside of the apartment and would ask that you do, too. 

1 month security deposit + first month rent to move in, plus a $70 application fee to the landlord. Utilities (gas, electricity, wifi) typically run $100-$150 per month depending on heat/AC use. 

Feel free to text/e-mail with any questions. Thanks! -Sara",1
"Beautiful 24 acre parceled off dairy farm approximately 3hrs from nyc. Only 2 miles to New York State snowmobile trails and near 2 state parks and 20min from animal adventure park. Less than 1 mile from finger lakes trail (FLT) The property has 16 acres mature wooded forest with both hard and softwood trees. Acorns for wildlife and plenty of corn fields in the area. Front 8 acres cleared meadow for building that is hayed by local farmer if prospective buyer wants to keep this in place. Small spring on the property which can be made into a nice pond. Stone wall boarders west side of property. Many deer and turkey and other wildlife caught on game camera use the property. Drilled well, underground phone line installed years ago, driveway, and camper. All mineral rights convey. Camper is a 1994 Citation 28’ in nice condition brand new dual control fridge. Has king size bed, pull out sofa, and table can also convert to sleeping space. This is a great getaway used by my family for hunting and recreation with state parks near by as well as wal mart Lowe’s and fast food just minutes away. Sorry to sell but kids going to college now and won’t be used much so time to sell. Hopefully someone else can enjoy this basically turn key site with plenty of upside for building a long term family getaway. $89000",0
I am working with the ladies shelter if you need food or a place to stay we can provide some assistance or part time jobs to help you get by . Out of town or down on your luck we can offer temp assistance only .We are a private service.,0
"NO FEE!! FULLY FURNISHED 1 LOFT BEDROOM AVAILABLE IN FLATIRON/NOMAD NEIGHBORHOOD. BRIGHT AND SUNNY ON A HIGH FLOOR OFFERS OPEN VIEWS. LARGE KITCHEN WITH MODERN GRANITE COUNTERTOPS, STAINLESS STEEL APPLIANCES AND SLEEK ESPRESSO CABINETS! SPACIOUS ROOM SIZE. TERRIFIC APARTMENT IS IN EXCELLENT CONDITION WITH GOOD CLOSET SPACE AND OPEN ENTRYWAY. AMAZING ROOF DECK, TERRIFIC LOCATION, STEPS AWAY FROM TRANSPORTATION! LAUNDRY IN UNIT.


CALL",0
"Great location on 27th St bet 6th & 7th Ave.

Huge open space with four huge south facing windows.

High exposed ceilings.

Beautiful hardwood floors.

Great presence right across from the elevators.

Direct electric.

Renovated modern lobby.
-----------------------------------------------------------------------------------------------------
Manhattan Real Estate Offices
45 W 10th St -Suite Lobby B
New York, NY 10011



#8127",0
"AVAILABLE NOW/or September 1. One bedroom available in 2 bedroom Williamsburg apt. $999 per month plus utilities. You can take the bedroom unfurnished or keep the bed and desk already there. Nice, clean guy lives in the other bedroom. On a lively street. Three blocks from the JMZ line that goes over the Williamsburg bridge. 5 blocks to the L train. 5 th floor of a walkup (great exercise). Roof access.",0
"Newly renovated, 1 bedroom, fully furnished, floor-thru apartment available September 13th.
See full details at:
https://htsapts.com/arthur-miller-suite-one-bedroom
Located on 4th floor of townhouse - up 3 flights of stairs.
Living room has sofa bed, wide screen TV, coffee table, lounge chair and desk.
Velop mesh wi-fi clocks >70 Mbps - enabling streaming and video conferencing.
Windowed, eat-in, kitchen equipped for preparation and service.
Quiet bedroom overlooking rear gardens with comfortable queen bed, large cherry dresser, walk-in closet.
Tiled bath with tub and shower.
$3800 per month including electric and wi-fi. NYC Hotel Tax (5.875% applicable to residency less than 180 days).
No fee - rent directly from owner.",1
"This property is marketed as a great redevelopment opportunity. It consists of two parcels, 5622 and 5624 Pembroke Road (Property ID#s 514124110060 and 514124110070). The site enjoys 150 feet of frontage on heavily travelled Pembroke Road and is 110 feet deep.

Contact listing agents at 
 for an inspection. PLEASE DO NOT ENTER ONTO PROPERTY without an appointment and do not contact any of the current tenants.",0
"Affordable furnished rooms available immediately. 

Location: Uptown Manhattan in the Washington Heights area and throughout the Bronx. For details, please send a text message to: **646** 318-84=46

www.rentaroominnyc.nyc",0
"We have the best office for you and your 6 people team! Located near Penn Station and all major subways and LIRR.
 

The rent includes: 2 workstations, fax, wifi, copier printer and coffee (who doesnt love coffe?) 
 
Visit our website www.solisspaces.com

We have other spaces available!!!!!! 
 
Call 6463305006 to schedule a walk through and work at the office of your dreams!",0
"Share a beautiful three-bedroom apartment with one single male professional on entire top floor (2nd floor) of a Long Island City house. 

The tenant would have their own large bedroom and would share all common areas, which include kitchen, bathroom, foyer, and front patio and backyard garden.

The bedroom (unfurnished option available):
Very Large, Bright Bedroom (200 sq. ft.) with windows on two walls and large closet.
Includes: 
- Brand new full size mattress with modern bed frame
- Brand new New Zealand wool duvet, two ergonomic pillows
- 40 inch Samsung smart TV, cable connected (HDTV, DVR)
- Super High Speed (300MB) Internet Connection - wireless or wired option
- Large work desk with new office chair (rollerblade wheels)
- Adjustable rolling table for computer/ meals/ coffee table/ etc.
- Amazon Alexa equipped, voice controls all electrical devices including all lights and air conditioner
- White leather loveseat 
- White West Elm dresser
- Silver West Elm floor lamp, with double lights
- White cotton voile curtains 
- Blackout shades
- Voice control air conditioner
- Voice control lights: All lights are Philips Hue (16 million color possibilities): three floor lamp lights, two ceiling lights, two strip light, and one bedside lamp.

Follow this link for virtual tour of room:
https://www.youtube.com/watch?v=NaBtF_hfOJ8

For garden:
https://www.youtube.com/watch?v=pBtmOOozjU4


Share Very large kitchen and bathroom.
Entire house is well appointed and equipped with voice control lights with Amazon Alexa in every room.
Apartment layout is great for individual privacy!

Perfectly located for convenient Manhattan commute, three small blocks from N/W trains (4 minutes from door to platform) on quiet, tree lined, residential street;
at the corner is main thoroughfare and minutes to the Queensboro Bridge. 
Street parking is available.

Quiet and friendly and charming tree lined neighborhood street. Across the street from a park. Laundromat less than 100 feet away in both directions. Supermarkets are 2 blocks in either direction. All other necessities are within a 3 block radius.

I am a responsible, respectful, professional individual and am looking for the same.
Smoker or nonsmoker OK. No pets. No drugs.

Please...no short-term applicants. I am looking for long term (6 months minimum)
No couples please!

Available for immediate occupancy. 

Deposit: 1st Month + Security

Showing by appointment only.",1
"Share the bathroom, no cooking, excellent condition, vacant now, commission equal one month rent",0
"1Ba available 
listed by: Empire Estates Realty

apartment
off-street parking

-Studio With Private Front Entrance 
-Eat-In Kitchen
-Full Bathroom 
-Great Outside Lighting Through Front Windows 
-Off-Street Parking
- No Pets ! No Smoking ! 
Transportation: 
78 Bus Passes In Front Of House
Staten Island Railroad 2 Blocks Away
Convenience To ALL !",1
"I have a extra room for rent it’s unfurnished (male preferred). It’s month to month,shared kitchen and bathroom. Available Sept.10,2020.Must be employed,friendly and don’t have a problem with a cat. Near transportation,feel free to contact me @ 
 Charlene",0
"Space Feature:

>>> Single Family House
>>> 2 bedroom 2 bathroom
>>> Separate kitchen 
>>> Marble bathroom 
>>> Build in 1920
>>> 2 Stories
>>> Lot size: 1250 Sq ft
>>> Building size approx: 1125 Sq ft
>>> Hardwood Floors
>>> Good Condition 
>>> Close to the subways L trains

For more information or to schedule a viewing, pls call Christy at",1
"Space Feature:

>>> Elevator 
>>> New Building Office Condo
>>> Office Condo size approx: 702 Sq ft
>>> Concrete Floors 
>>> Oversized windows 
>>> Natural Lights 
>>> View Manhattan 
>>> Private Restroom 
>>> Real Estates Taxes: $7932
>>> Common Charge: $9788 per year
>>> Sprinkle system
>>> Good Condition 
>>> Close to the subways F trains 

For more information or to schedule a viewing, pls call Christy at",1
"Space Feature:

>>> Store Front size approx 1700 Sq ft
>>> Concrete Floors 
>>> Private Restroom 
>>> High Ceilings 
>>> Real Estates taxes: $90000
>>> Good location 
>>> Close to the subways B,D trains

For more information or to schedule a viewing, pls call Christy at",1
"Space Features:

>>> 1 Family House
>>> Good investment 
>>> Lot Size approx: 20 x 86
>>> Building size approx: 20 x 46
>>> Zoning: R6
>>> Good For builds up
>>> Close to the subways D trains and Bus B11

For more information or to schedule a viewing, pls call Christy at",1
"Space Feature:

>>> Single Family House
>>> 2 bedroom 2 bathroom
>>> Separate kitchen 
>>> Marble bathroom 
>>> Build in 1920
>>> 2 Stories
>>> Lot size: 1250 Sq ft
>>> Building size approx: 1125 Sq ft
>>> Hardwood Floors
>>> Good Condition 
>>> Close to the subways L trains

For more information or to schedule a viewing, pls call Christy at",1
"Space Feature:

>>> Elevator 
>>> All brand new Office Condo 
>>> Office Condo size approx: 944 Sq ft
>>> Concrete Floors 
>>> High Ceilings 
>>> Oversized windows 
>>> Natural Lights 
>>> View Manhattan 
>>> Sprinkle system
>>> Real Estates Taxes: $10872
>>> Common Charge: $$13413 per year 
>>> Good Condition 
>>> Close to the subways F trains and bus M15 and M103

For more information or to schedule a viewing, pls call Christy at",1
"Space Feature:

>>> Walk-up Building 
 Triplex
4 bedrooms
2 studies
3.5 bathrooms
1 Recroom
1 back yard
 
2nd floor
2 bedrooms
1 study
2 bathrooms
1 balcony
1 roof deck
 
3rd floor
2 bedrooms
1 study
2 bathrooms
1 balcony
1 roof deck
 
Realeastate taxes: $12000
Insurance: $4000
Electric: Tenant pay
Water/sewer: $1100
Repairs: None
Management: 3%
Heating: Tenant pay
Lot size: 16.9’ x 100’
Zoning: R6
BSF: 5,400 sf.

For more information or to schedule a viewing, pls call Christy at",1
"Conveniently located 2 Bd 2 Ba in quiet and historic Paulus Hook residential area. Steps to waterfront, ferry, lightrail. Condo has washer/dryer, parking included. Building amenities include courtyard, bbq grills, gym, mailroom, virtual doorman.",0
"Mint Waterfront Building With 2 Large Slips
**************************************

- 1200 sf Elevated Building
- Open Floor Plan With 1 Small Storage / Bedroom
- 550 sf Upper & Lower Decks With Railings
- 2 Large Slips With Electric & Water
- Located On Freeport's Famous Nautical Mile
- Taxes Less Than $12,000. ""Including"" Inc. Village of Freeport Tax! 

** PROPERTY IS LOCATED LESS THAN 100 YARDS FROM A BRAND NEW 65,000 SF 100+ ROOM ""HILTON GARDEN"" HOTEL DEVELOPMENT SITE ( ON FORMER FAMOUS SCHOONER RESTAURANT - SOLD 12/18 $3,250,000. & WOODCLEFT FISHING STATION - SOLD 6/19 -$1,800,000.)
ALL PERMITS HAVE BEEN SUBMITTED AND APPROVED. 


** ALSO LESS THAN 100 YARDS FROM THE FAMOUS TROPIX'S $5,000,000.+ 350+ SEAT CATERING HALL, OUT DOOR RESTAURANT &ROOF TOP BAR CALLED ""THE BAYVIEW BY TROPIXS"" WHICH PRESENTLY UNDER CONSTRUCTION.

** Building Is Zoned Commercial But Can Easily Converted To Residential - THERE IS A 2-BEDROOM COTTAGE DIRECTLY NEXT DOOR. ""IF THEY CAN DO IT...YOU CAN DO IT!

*** Offered @ $599,000. *** Brokers Welcome (4% Commission Split) ***

Call Mr. D @",0
"MINT FREESTANDING 1200 sf WATERFRONT BUILDING
*****************************************************
- Located On Long Island's South Shore In Freeport's Famous Nautical Mile- 'Fishing Capital of The East""
- 1200 sf Open Studio Floor Plan In A Elevated ( 43"" ) Brick Faced CB Building
- Perfect Location For A Mixed-Use Home Studio &/or Work Space
- 12' High Ceilings, Handicap Bathroom & A Large Storage Room / Kitchen Area
- Small Interior Home Office With Look Out Glass (See Out/Not In)
- 550' sf Upper Trex & Lower Wood Decks With Aluminum Railings
- Two 45'+ Slips With Shore Power ( 2-50's, 2-30's, 2-GFI's), Water (2 Spouts) & A Security Fence
- 3-Phase Electric For Any Energy Need
- ADT Alarm & Seven (7) Camera Security System's
- Less Than 3 Miles From Jones Beach Inlet - Outlet To One Of Long Island's Best Fishing & Boating Grounds

* Less Than 100 Yards From A Brand New 65,000+ Hotel Development Site ( Former Famous Schooner Restaurant ( sold 12/18 @ $3,350,000. & Woodcleft Fishing Station - sold 6/19 @ $1,800,000.)
The Hotel Is A Proposed Hilton Garden Hotel And All Permits Have Been Submitted & Approved 

** Less Than 50 Yards From Topix's Outdoor Restaurant & Bar Which Presently Is Going Under A $5,000,000.+ Expansion Including Catering Hall & Roof Top Bar) Which Is Called ""THE BAYVIEW BY TROPIX'S"". 

*** Taxes Only $11,450. ""Including"" Incorporated Village Of Freeport Tax

**** FSBO - Offered @ $599,000. **** Broker's Welcome ( 4% Commission Split) ****

***** Call Mr. D For A viewing Appointment @",0
"Hey there! Looking for a lovely person to re-sign my lease with for Sept 1- this apartment is an incredible find and I'm hoping to share with another awesome roommate.

Apartment: It's in Prospect Lefferts Gardens/ Crown Heights, off Lefferts & Brooklyn Ave; it's a 15ish mins walk to Prospect Park (W00T!) Getting around is easy; it's 8 mins from the Sterling 2/5, and and 12 from the Kingston 3/4 - so a quick jet to Atlantic Barclays, and you can get to Lower Manhattan in ~35 mins / midtown in ~45. Common areas are furnished so no need to worry about that, but if you have more stuff like kitchenware, we can that figure out :) 

Amenities: Elevator, study room, rooftop, gym, TV room and laundry in the basement. The unit itself has Central AC, dishwasher, open plan common area.

Rooms: All three are the same size. Each available room has floor-to-ceiling windows, a built-in closet and can fit a queen (would recommend a full though, that's what I have). Rent for each available room is $950, and utilities are often about ~$70 per head (electric/ gas/ wifi). My room has no closet but has a balcony, so I pay $1100.

Roommates: You'd be living with me - the rooms flank mine on both sides. I'm a 29-year old gay guy. I work in marketing, enjoy nature and appreciate honesty, kindness and good vibes. Hobbies vary from kickboxing, travel and theater, to just chilling with a book (or Netflix) and a beer. Yumi also just signed the lease for one of the rooms - she's 29 too, Japanese and a masters candidate and SVA. And she's super nice and considerate.

You: Would love to live with someone who is...
- LGBTQ-friendly (queer guy preferable, but definitely not a must)
- Tidy, mature, kind, honest
- Securely making steady income to cover rent monthly (if you work outside the apartment EVEN BETTER!)
- Ideally 25 years old +
- Doesn't own pets (open to discussing a cute medium-sized dog though, love a sweet dog!)
- Is not moving with a partner (happy for you and bae, but the space won't comfortably house 4 people)

Sounds like you? Would love to hear from you! Shoot me an email/text telling me a bit about yourself (name, age, job, hobbies, approach to life, etc.). Cheers ✌️

PS: Open to discussing alternative arrangements -- e.g. month to month set up -- if the vibe is right!",0
"Fellow Artists! Are Bushwick, Dumbo or Williamsburg getting expensive? Are you searching for a better, more collaborative environment? If so, welcome to YOHO, Southern Westchester's Largest Artist Community!

If you have always wanted to be a part of an exclusive community of artists - with a price low enough that you can afford - this is your chance!

A Prime location near New York City
Located just 20 miles north of Manhattan and easily accessible via Route 9A or Interstate 87, 540 and 578 Nepperhan Avenue can serve as affordable alternative to the high studio and community working space rents found in Manhattan.

Features at YOHO:
• 14-foot Ceilings
• Massive Factory Style Windows
• Gallery-Like Ambiance
• Located in a Five-Story High Profile Building, Listed in the National Register of Historic Places
• Variety of Options to Fit Your Style and Budget
• Established Group of Highly Respected Artists, Southern Westchester's Largest!
• Open Studio Events!!
• Inviting Environment and Communal Atmosphere with 100+ artists
• Studios Starting at Just $330 Per Month, All Utilities Included
• 24/7 Access, Camera Security Systems, and Management On Site

To Learn more please call Zuki Pjetrovic at 
 , or email us a reply. Thank you!
578 Nepperhan Avenue, Unit: 423
Westchester, New York, 10701
Phone: 
 
170 SQ FT working studio/loft. Join a fantastic community here today!
Studio space requires separate parking permit with Yonkers Parking Authority $40/month at time of lease signing",0
"GOT VERMONT ON YOUR MIND?

GOT A BIG GROUP...OR IS IT JUST THE TWO OF YOU?

Our big log house on twenty-one acres of Vermont is perfect for a romantic getaway, but this all season vacation home will actually accommodate up to seven couples...or two families! While there are only two ""conventional"" bedrooms in our three level ""oversized log cabin,"" there are private sleeping spaces (all queen-size) for up to five couples, as well as semi-private sleeping areas for two additional couples and additional singles.

The perfect size group would be one, two or three adult couples with anywhere from zero up to five or six little guys...any time of year!

THINKING SUMMER OR FALL FOLIAGE?

WE ARE LESS THAN A MILE FROM LAKE NINEVAH ... (more than 100 acres of pristine wilderness lake)...and our canoe, two kayaks and a fishing dinghy (all people powered) are all included in summer and fall.

ECHO LAKE, LAKE AMHERST, LAKE RESCUE, and LAKE PAULINE are only minutes away.


ALREADY THINKING WINTER?

Our place is less than five hours from New York City...less than seven miles from Ludlow and the slopes of Okemo...and about 20 miles from Killington....Pico, Magic, Stratton, Snow and Bromley are all well within striking distance!

HOLIDAY WEEKENDS, NON-HOLIDAY WEEKENDS, FULL WEEKS AND MIDWEEKS ARE AVAILABLE THROUGHOUT THE YEAR! 


NON-HOLIDAY RENTAL RATES: 

TIME PERIOD..............SUMMER........FALL.......WINTER 

1 weekend 
(Fri 6pm - Mon Noon).........$850.............$925............$975 

1 Full Week 
(Fri 6pm - Fri Noon)............$975............$1175..........$1475 

2 Full Weeks 
(Fri 6pm - Fri Noon)...........$1875...........$2175..........$2775 

Mid-Week Only 
(Mon 6pm - Fri Noon).........$875............$925..............$975 


Additional Consecutive.........$825............$875..............$925 
Weekends 

You get the entire house for the above flat rates, regardless of the 
number of people in your group. Other than the 9% ""Meals and Rooms Tax"" 
demanded by the State of Vermont, and a fully refundable 
security/cleaning deposit (usually $200), there are no additional 
charges of any kind at any time. Utilities and snow plowing of the 
driveway in winter, after every storm, are included in your rental 
fee. Holiday rates vary and are available upon request.

For more information, you can call or text Bill anytime at 


...or just click on ""Reply"" near the top of this page!",0
Hi ! I have a master bedroom now available riverdale section of the bronx the room is furnished the apartment is located in a beautiful neighborhood with great transportation and shopping areas . I am accepting females with children or single individual NO COUPLES . you will need to provide proof of income and COVID-19 NEGATIVE. IF INTERESTED PLEASE CONTACT ME SERIOUS INQUIRIES ONLY .,0
